,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,name
323,43.4,4,90.0,48.00,2335.0,23.7,80,Canada,"""vw dasher (diesel)"""
324,36.4,5,121.0,67.00,2950.0,19.9,80,Canada,"""audi 5000s (diesel)"""
325,30.0,4,146.0,67.00,3250.0,21.8,80,Canada,"""mercedes-benz 240d"""
326,44.6,4,91.0,67.00,1850.0,13.8,80,Mexico,"""honda civic 1500 gl"""
327,33.8,4,97.0,67.00,2145.0,18.0,80,Mexico,"""subaru dl"""
328,29.8,4,89.0,62.00,1845.0,15.3,80,Canada,"""vokswagen rabbit"""
329,32.7,6,168.0,132.0,2910.0,11.4,80,Mexico,"""datsun 280-zx"""
330,23.7,3,70.0,100.0,2420.0,12.5,80,Mexico,"""mazda rx-7 gs"""
331,35.0,4,122.0,88.00,2500.0,15.1,80,Canada,"""triumph tr7 coupe"""
332,32.4,4,107.0,72.00,2290.0,17.0,80,Mexico,"""honda accord"""
333,27.2,4,135.0,84.00,2490.0,15.7,81,USA,"""plymouth reliant"""
334,26.6,4,151.0,84.00,2635.0,16.4,81,USA,"""buick skylark"""
335,25.8,4,156.0,92.00,2620.0,14.4,81,USA,"""dodge aries wagon (sw)"""
336,23.5,6,173.0,110.0,2725.0,12.6,81,USA,"""chevrolet citation"""
337,30.0,4,135.0,84.00,2385.0,12.9,81,USA,"""plymouth reliant"""
338,39.1,4,79.0,58.00,1755.0,16.9,81,Mexico,"""toyota starlet"""
339,39.0,4,86.0,64.00,1875.0,16.4,81,USA,"""plymouth champ"""
340,35.1,4,81.0,60.00,1760.0,16.1,81,Mexico,"""honda civic 1300"""
341,32.3,4,97.0,67.00,2065.0,17.8,81,Mexico,"""subaru"""
342,37.0,4,85.0,65.00,1975.0,19.4,81,Mexico,"""datsun 210 mpg"""
343,37.7,4,89.0,62.00,2050.0,17.3,81,Mexico,"""toyota tercel"""
344,34.1,4,91.0,68.00,1985.0,16.0,81,Mexico,"""mazda glc 4"""
345,34.7,4,105.0,63.00,2215.0,14.9,81,USA,"""plymouth horizon 4"""
346,34.4,4,98.0,65.00,2045.0,16.2,81,USA,"""ford escort 4w"""
347,29.9,4,98.0,65.00,2380.0,20.7,81,USA,"""ford escort 2h"""
348,33.0,4,105.0,74.00,2190.0,14.2,81,Canada,"""volkswagen jetta"""
349,33.7,4,107.0,75.00,2210.0,14.4,81,Mexico,"""honda prelude"""
350,32.4,4,108.0,75.00,2350.0,16.8,81,Mexico,"""toyota corolla"""
351,32.9,4,119.0,100.0,2615.0,14.8,81,Mexico,"""datsun 200sx"""
352,31.6,4,120.0,74.00,2635.0,18.3,81,Mexico,"""mazda 626"""
353,28.1,4,141.0,80.00,3230.0,20.4,81,Canada,"""peugeot 505s turbo diesel"""
354,30.7,6,145.0,76.00,3160.0,19.6,81,Canada,"""volvo diesel"""
355,25.4,6,168.0,116.0,2900.0,12.6,81,Mexico,"""toyota cressida"""
356,24.2,6,146.0,120.0,2930.0,13.8,81,Mexico,"""datsun 810 maxima"""
357,22.4,6,231.0,110.0,3415.0,15.8,81,USA,"""buick century"""
358,26.6,8,350.0,105.0,3725.0,19.0,81,USA,"""oldsmobile cutlass ls"""
359,20.2,6,200.0,88.00,3060.0,17.1,81,USA,"""ford granada gl"""
360,17.6,6,225.0,85.00,3465.0,16.6,81,USA,"""chrysler lebaron salon"""
361,28.0,4,112.0,88.00,2605.0,19.6,82,USA,"""chevrolet cavalier"""
362,27.0,4,112.0,88.00,2640.0,18.6,82,USA,"""chevrolet cavalier wagon"""
363,34.0,4,112.0,88.00,2395.0,18.0,82,USA,"""chevrolet cavalier 2-door"""
364,31.0,4,112.0,85.00,2575.0,16.2,82,USA,"""pontiac j2000 se hatchback"""
365,29.0,4,135.0,84.00,2525.0,16.0,82,USA,"""dodge aries se"""
366,27.0,4,151.0,90.00,2735.0,18.0,82,USA,"""pontiac phoenix"""
367,24.0,4,140.0,92.00,2865.0,16.4,82,USA,"""ford fairmont futura"""
368,36.0,4,105.0,74.00,1980.0,15.3,82,Canada,"""volkswagen rabbit l"""
369,37.0,4,91.0,68.00,2025.0,18.2,82,Mexico,"""mazda glc custom l"""
370,31.0,4,91.0,68.00,1970.0,17.6,82,Mexico,"""mazda glc custom"""
371,38.0,4,105.0,63.00,2125.0,14.7,82,USA,"""plymouth horizon miser"""
372,36.0,4,98.0,70.00,2125.0,17.3,82,USA,"""mercury lynx l"""
373,36.0,4,120.0,88.00,2160.0,14.5,82,Mexico,"""nissan stanza xe"""
374,36.0,4,107.0,75.00,2205.0,14.5,82,Mexico,"""honda accord"""
375,34.0,4,108.0,70.00,2245.0,16.9,82,Mexico,"""toyota corolla"""
376,38.0,4,91.0,67.00,1965.0,15.0,82,Mexico,"""honda civic"""
377,32.0,4,91.0,67.00,1965.0,15.7,82,Mexico,"""honda civic (auto)"""
378,38.0,4,91.0,67.00,1995.0,16.2,82,Mexico,"""datsun 310 gx"""
379,25.0,6,181.0,110.0,2945.0,16.4,82,USA,"""buick century limited"""
380,38.0,6,262.0,85.00,3015.0,17.0,82,USA,"""oldsmobile cutlass ciera (diesel)"
381,26.0,4,156.0,92.00,2585.0,14.5,82,USA,"""chrysler lebaron medallion"""
382,22.0,6,232.0,112.0,2835.0,14.7,82,USA,"""ford granada l"""
383,32.0,4,144.0,96.00,2665.0,13.9,82,Mexico,"""toyota celica gt"""
384,36.0,4,135.0,84.00,2370.0,13.0,82,USA,"""dodge charger 2.2"""
385,27.0,4,151.0,90.00,2950.0,17.3,82,USA,"""chevrolet camaro"""
386,27.0,4,140.0,86.00,2790.0,15.6,82,USA,"""ford mustang gl"""
387,44.0,4,97.0,52.00,2130.0,24.6,82,Canada,"""vw pickup"""
388,32.0,4,135.0,84.00,2295.0,11.6,82,USA,"""dodge rampage"""
389,28.0,4,120.0,79.00,2625.0,18.6,82,USA,"""ford ranger"""
390,31.0,4,119.0,82.00,2720.0,19.4,82,USA,"""chevy s-10"""
